"Timestamp","What is your age?","What year are you in your program of study?","What is your current GPA?","Are you an international student?","How many hours per week do you spend on academic activities (e.g. studying, attending lectures)?","Do you submit your assignments timely?","How often do you feel stressed about your academic responsibilities?","Have you experienced any mental health issues mentioned below during your time at the university?","How often do you feel distracted or unfocused while studying due to symptoms mentioned in question above?","How do you think mental health has
affected your grades?","Have you ever missed classes or exams due to mental health reasons?
","Do you think there’s a negative perception around seeking assistance or talking about mental health with your peers?","Are you aware of mental health resources
available at the university? (e.g. Counselling 
Services, Support groups etc) "
"2023/11/04 12:51:53 PM EST","25 - 35","Graduate","3.6-4.0","Yes","More than 15 hours","Mostly","Frequently","Inability to concentrate;Feelings of fear / regret;Breathlessness","Sometimes","Lowered my grades","Never","Maybe","No"
"2023/11/04 1:18:51 PM EST","18 - 25","Graduate","Not applicable","Yes","11-15 hours","Mostly","Constantly","Inability to concentrate;Frequent Procrastination;Feelings of fear / regret;Eating Disorder","Frequently","No noticeable effect","Never","Yes","Yes"
"2023/11/04 2:14:51 PM EST","18 - 25","Graduate","3.1-3.5","Yes","0-5 hours","Mostly","Sometimes","Inability to concentrate;Frequent Procrastination;Sleep Disorder","Frequently","No noticeable effect","Never","Yes","Yes"
"2023/11/04 2:22:18 PM EST","18 - 25","Graduate","3.6-4.0","Yes","6-10 hours","Always","Frequently","Frequent Procrastination;Eating Disorder","Occasionally","Lowered my grades","Sometimes","Yes","Yes"
"2023/11/04 2:38:41 PM EST","18 - 25","Graduate","3.6-4.0","Yes","6-10 hours","Always","Sometimes","Inability to concentrate;Feelings of fear / regret;Breathlessness","Sometimes","No noticeable effect","Never","No","No"
"2023/11/04 2:39:28 PM EST","25 - 35","Graduate","3.1-3.5","Yes","11-15 hours","Always","Sometimes","Frequent Procrastination;Feelings of fear / regret","Sometimes","Lowered my grades","Sometimes","Maybe","No"
"2023/11/04 2:41:55 PM EST","18 - 25","Graduate","3.6-4.0","Yes","6-10 hours","Always","Sometimes","Frequent Procrastination","Rarely","No noticeable effect","Never","No","Yes"
"2023/11/04 2:42:14 PM EST","18 - 25","Graduate","3.1-3.5","Yes","6-10 hours","Always","Constantly","Inability to concentrate;Frequent Procrastination;Feelings of fear / regret;Withdrawal from friends and family","Frequently","Lowered my grades","Sometimes","Maybe","Yes"
"2023/11/04 3:07:05 PM EST","18 - 25","Graduate","3.1-3.5","Yes","11-15 hours","Always","Frequently","Inability to concentrate;Frequent Procrastination;Sleep Disorder","Sometimes","Lowered my grades","Never","No","Yes"
"2023/11/04 3:52:35 PM EST","25 - 35","Graduate","3.6-4.0","Yes","More than 15 hours","Always","Sometimes","Sleep Disorder","Occasionally","No noticeable effect","Never","No","Yes"
"2023/11/04 3:53:18 PM EST","18 - 25","Graduate","3.1-3.5","Yes","More than 15 hours","Always","Frequently","Inability to concentrate","Occasionally","Lowered my grades","Sometimes","No","Yes"
"2023/11/04 4:22:19 PM EST","18 - 25","Graduate","3.1-3.5","Yes","6-10 hours","Mostly","Frequently","Inability to concentrate;Frequent Procrastination;Sleep Disorder","Occasionally","No noticeable effect","Always","Maybe","No"
"2023/11/04 4:44:40 PM EST","18 - 25","Graduate","3.6-4.0","No","6-10 hours","Always","Frequently","Inability to concentrate;Feelings of fear / regret;Withdrawal from friends and family","","No noticeable effect","Never","Maybe","Yes"
"2023/11/04 5:25:40 PM EST","25 - 35","Graduate","3.6-4.0","Yes","6-10 hours","Always","Constantly","","Constantly","No noticeable effect","Never","No","Yes"
"2023/11/04 6:24:46 PM EST","18 - 25","Graduate","3.6-4.0","Yes","0-5 hours","Always","Constantly","Inability to concentrate;Frequent Procrastination;Feelings of fear / regret;Breathlessness;Eating Disorder;Panic Attacks;Withdrawal from friends and family","Frequently","Lowered my grades","Never","Maybe","Yes"
"2023/11/04 7:03:42 PM EST","25 - 35","Graduate","3.1-3.5","Yes","More than 15 hours","Always","Frequently","Eating Disorder","Sometimes","No noticeable effect","Never","No","Yes"
"2023/11/04 8:03:20 PM EST","18 - 25","Graduate","3.6-4.0","No","11-15 hours","Always","Constantly","Feelings of fear / regret;Eating Disorder;Sleep Disorder;Withdrawal from friends and family","Frequently","No noticeable effect","Sometimes","No","No"
"2023/11/04 8:16:52 PM EST","18 - 25","Graduate","3.6-4.0","Yes","6-10 hours","Always","Sometimes","None","Rarely","No noticeable effect","Never","No","Yes"
"2023/11/04 8:19:21 PM EST","18 - 25","Graduate","3.1-3.5","Yes","0-5 hours","Always","Frequently","Sleep Disorder","Occasionally","No noticeable effect","Never","Maybe","Yes"
"2023/11/04 8:49:41 PM EST","18 - 25","Graduate","3.6-4.0","Yes","6-10 hours","Always","Rarely","","Rarely","No noticeable effect","Never","No","Yes"
"2023/11/04 9:58:00 PM EST","18 - 25","Graduate","3.6-4.0","No","11-15 hours","Mostly","Sometimes","Inability to concentrate;Frequent Procrastination;Sleep Disorder","Sometimes","Lowered my grades","Sometimes","Yes","No"
"2023/11/04 10:34:48 PM EST","18 - 25","Graduate","3.6-4.0","Yes","More than 15 hours","Always","Constantly","Inability to concentrate;Frequent Procrastination;Feelings of fear / regret;Panic Attacks;Sleep Disorder","Frequently","No noticeable effect","Never","Maybe","Yes"
"2023/11/04 11:09:11 PM EST","18 - 25","Graduate","3.6-4.0","Yes","11-15 hours","Always","Sometimes","","","No noticeable effect","Never","Maybe","Yes"
"2023/11/04 11:14:25 PM EST","18 - 25","Graduate","3.6-4.0","Yes","11-15 hours","Always","Frequently","Withdrawal from friends and family","Rarely","No noticeable effect","Never","Maybe","Yes"
"2023/11/04 11:39:05 PM EST","18 - 25","Freshman","3.1-3.5","Yes","6-10 hours","Mostly","Sometimes","Inability to concentrate;Frequent Procrastination;Eating Disorder;Withdrawal from friends and family","Sometimes","No noticeable effect","Sometimes","Yes","Yes"
"2023/11/05 12:16:38 AM EST","18 - 25","Graduate","3.1-3.5","Yes","0-5 hours","Mostly","Sometimes","Inability to concentrate;Frequent Procrastination;Feelings of fear / regret;Breathlessness;Eating Disorder;Panic Attacks;Sleep Disorder;Withdrawal from friends and family","Sometimes","Lowered my grades","Sometimes","Maybe","Yes"
"2023/11/05 3:31:15 AM EST","18 - 25","Junior","3.1-3.5","No","More than 15 hours","Always","Rarely","Eating Disorder","Sometimes","No noticeable effect","Never","No","Yes"
"2023/11/05 7:48:25 AM EST","18 - 25","Freshman","3.1-3.5","Yes","6-10 hours","Mostly","Sometimes","Inability to concentrate;Frequent Procrastination;Feelings of fear / regret","Frequently","Lowered my grades","Never","No","Yes"
"2023/11/05 10:36:28 AM EST","25 - 35","Freshman","3.1-3.5","Yes","6-10 hours","Always","Sometimes","","Sometimes","No noticeable effect","Never","No","Yes"
"2023/11/05 12:01:42 PM EST","18 - 25","Graduate","3.1-3.5","Yes","11-15 hours","Mostly","Frequently","none","Rarely","No noticeable effect","Never","No","No"
"2023/11/05 4:54:05 PM EST","18 - 25","Graduate","3.1-3.5","Yes","11-15 hours","Always","Frequently","Inability to concentrate;Frequent Procrastination;Feelings of fear / regret;Breathlessness;Sleep Disorder","Sometimes","Lowered my grades","Never","No","Yes"
"2023/11/05 10:38:35 PM EST","25 - 35","Graduate","3.6-4.0","Yes","6-10 hours","Always","Sometimes","Inability to concentrate;Feelings of fear / regret;Eating Disorder;Sleep Disorder;Withdrawal from friends and family","Occasionally","Lowered my grades","Never","Yes","Yes"
"2023/11/06 3:28:46 PM EST","18 - 25","Graduate","3.1-3.5","Yes","0-5 hours","Always","Rarely","Inability to concentrate;Frequent Procrastination;Feelings of fear / regret;Eating Disorder;Sleep Disorder;Withdrawal from friends and family","Occasionally","Lowered my grades","Sometimes","Yes","Yes"
"2023/11/06 3:29:08 PM EST","25 - 35","Junior","3.1-3.5","No","0-5 hours","Mostly","Frequently","Inability to concentrate;Frequent Procrastination;Feelings of fear / regret;Breathlessness;Eating Disorder;Panic Attacks","Sometimes","Lowered my grades","Never","Yes","Yes"
"2023/11/06 3:30:12 PM EST","Under 18","Freshman","3.6-4.0","Yes","6-10 hours","Always","Rarely","No","Rarely","No noticeable effect","Never","Maybe","No"
"2023/11/06 3:52:17 PM EST","18 - 25","Graduate","3.1-3.5","Yes","11-15 hours","Mostly","Frequently","Inability to concentrate;Frequent Procrastination;Withdrawal from friends and family","Frequently","No noticeable effect","Sometimes","No","No"
"2023/11/06 3:55:43 PM EST","18 - 25","Graduate","3.6-4.0","Yes","More than 15 hours","Always","Sometimes","Frequent Procrastination;Sleep Disorder","Rarely","Improved my grades","Never","Maybe","Yes"
"2023/11/06 4:05:01 PM EST","18 - 25","Graduate","3.6-4.0","Yes","11-15 hours","Always","Frequently","Frequent Procrastination;Sleep Disorder;Withdrawal from friends and family","Frequently","No noticeable effect","Never","Yes","No"
"2023/11/06 4:07:06 PM EST","18 - 25","Graduate","3.6-4.0","Yes","0-5 hours","Always","Never ","Frequent Procrastination;Feelings of fear / regret;Withdrawal from friends and family","Rarely","No noticeable effect","Always","Maybe","No"
"2023/11/06 4:07:35 PM EST","18 - 25","Graduate","3.1-3.5","Yes","6-10 hours","Always","Frequently","Inability to concentrate;Frequent Procrastination;Feelings of fear / regret","Sometimes","No noticeable effect","Never","Maybe","Yes"
"2023/11/06 4:11:27 PM EST","18 - 25","Graduate","3.1-3.5","Yes","11-15 hours","Always","Sometimes","","Sometimes","No noticeable effect","Never","Maybe","Yes"
"2023/11/06 4:20:38 PM EST","18 - 25","Graduate","3.6-4.0","Yes","More than 15 hours","Always","Never","Frequent Procrastination;Eating Disorder;","Sometimes","No noticeable effect","Sometimes","Maybe","No"
"2023/11/06 7:45:38 PM EST","18 - 25","Graduate","3.6-4.0","Yes","6-10 hours","Always","Frequently","Inability to concentrate","Sometimes","No noticeable effect","Never","Maybe","Yes"
"2023/11/06 8:48:13 PM EST","18 - 25","Graduate","3.6-4.0","Yes","More than 15 hours","Always","Constantly","Inability to concentrate;Feelings of fear / regret;Breathlessness;Panic Attacks;Sleep Disorder","Sometimes","Lowered my grades","Sometimes","Yes","No"
"2023/11/06 9:00:52 PM EST","18 - 25","Graduate","3.1-3.5","Yes","6-10 hours","Always","Frequently","Inability to concentrate;Frequent Procrastination;Feelings of fear / regret","Sometimes","No noticeable effect","Never","No","Yes"
